"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"020034012","The Red Lion","en","","","The Red Lion","en","Bedford Road","en","","","o/s","en","2008-04-28T00:00:00","2008-04-28T00:00:00",,"new"
"020034013","The Red Lion","en","","","The Woolpack","en","Bedford Road","en","","","opp","en","2008-04-28T00:00:00","2008-04-28T00:00:00",,"new"
"020035062","Bedford Modern School","en","","","","","","","","","","","2006-12-08T00:00:00","2006-12-08T00:00:00",,"new"
"020035063","Bedford Modern School","en","","","","","","","","","","","2006-12-08T00:00:00","2006-12-08T00:00:00",,"new"
"020035624","The Boundary","en","","","","","","","","","Inbound","en","2008-02-15T00:00:00","2008-02-15T00:00:00",,"new"
"020035625","The Boundary","en","","","","","","","","","Outbound","en","2008-02-15T00:00:00","2008-02-15T00:00:00",,"new"
"020035702","Southfields School","en","","","The Mullberry Bush","en","Orchard Street","en","","","opp","en","2007-10-03T00:00:00","2007-10-03T00:00:00",,"new"
"020035703","Southfields School","en","","","Southfields School","en","Orchard Street","en","","","o/s","en","2007-10-03T00:00:00","2007-10-03T00:00:00",,"new"
"021016523","The Sun","","","","The Sun","","Lake Street","","Grove Road","","o/s","","2011-05-04T14:46:00","2011-05-04T14:46:00",0,"new"
"021020200","Post Office","","","","Post Office","","High Street","","","","Opp","","2007-09-14T15:00:00","2010-05-24T13:41:00",1,"rev"
"021020201","Post Office","","","","Post Office","","High Street","","","","Nr","","2007-09-14T15:01:00","2010-05-24T13:42:00",1,"rev"
"021028074","Library","","","","Library","","Flitwick Road","","Library","","o/s","","2011-05-04T15:23:00","2011-05-04T15:23:00",0,"new"
"02901028","Crawley Green Road Somerset Tavern","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901029","Crawley Green Road Somerset Tavern","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901080","Telscombe Way Keymer Close","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901093","Eaton Green Road Chertsey Close","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901276","Telscombe Way Keymer Close","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901277","Putteridge Road Crowland Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901277","Stopsley Putteridge School","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901298","Wigmore Lane Someries School","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901299","Wigmore Lane Someries School","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901324","Wigmore Lane Hayling Drive","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901375","Round Green Tavern","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901379","Hitchin Road Stopsley Memorial","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901380","Hitchin Road Stopsley Memorial","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901387","Wigmore Lane Shops","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901389","Wigmore Lane Shops","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02901607","London Road Tennyson Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02902001","Toddington Road Progress Way","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02902002","Toddington Road Progress Way","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02902003","Toddington Road Anstee Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903021","Dunstable Road Waldeck Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903022","Dunstable Road Waldeck Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903023","Dunstable Road Birch Link","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903023","Dunstable Road Westbourne Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903024","Dunstable Road Birch Link","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903032","Dunstable Road Oakley Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903033","Dunstable Road Chaul End Lane","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903036","Dunstable Road Travelodge","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903037","Dunstable Road Travelodge","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903043","Dunstable Road Birch Link","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903043","Dunstable Road Oak Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903043","Dunstable Road Westbourne Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903046","Dunstable Road Beechwood Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903155","Marsh Road Shops","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903156","Marsh Road Shops","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903157","Marsh Road Leagrave Station","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903158","Marsh Road Leagrave Station","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903212","New Bedford Road Kingsdown Avenue","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
"02903213","New Bedford Road Austin Road","","","","","","Not Specified","","","","","","2006-01-11T15:10:00","2006-01-11T15:10:00",0,"new"
