"ParentStopAreaCode","ChildStopAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"020G35822","020G35770","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020G35822","020G35771","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020G35822","020G35817","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GBEDBUS01","020G35036","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GBHOSPS","020G35715","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GBHOSPS","020G35717","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GBHOSPS","020G35812","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GGTBRFD","020G33094","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GGTBRFD","020G33100","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GLDNBRFD","020G35325","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"020GLDNBRFD","020G35648","2009-02-13T00:00:00","2009-02-13T00:00:00",,"new"
"021GAMPTHL01","021G20051","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GAMPTHL01","021G20054","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GCLOPHILL","021G21002","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GDUNSTCEN","021G13101","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GDUNSTCEN","021G13102","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GDUNSTCEN","021G13107","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GDUNSTCEN","021G13111","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GDUNSTCEN","021G13361","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GWOBURN","021G20006","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"021GWOBURN","021G20007","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"029G1202","029G3005","2009-10-29T09:06:00","2009-10-29T09:06:00",0,"new"
"029G1213","029G3215","2009-10-29T10:47:00","2009-10-29T10:47:00",0,"new"
"029G1213","029G3217","2009-10-29T10:31:00","2009-10-29T10:31:00",0,"new"
"029G1213","029G4723","2009-10-29T10:25:00","2009-10-29T10:28:00",2,"rev"
"030G51430003","030G51430001","2007-03-08T10:04:00","2007-03-08T10:04:00",0,"new"
"030G51430003","030G51430002","2007-03-08T10:04:00","2007-03-08T10:04:00",0,"new"
"030G53960003","030G53960001","2007-03-08T10:52:00","2007-03-08T10:52:00",0,"new"
"030G53960003","030G53960002","2007-03-08T10:52:00","2007-03-08T10:52:00",0,"new"
"035G76360001","035G76340001","2007-07-12T16:31:00","2007-07-12T16:31:00",0,"new"
"035G76360001","035G77440001","2007-07-12T16:31:00","2007-07-12T16:31:00",0,"new"
"035G91100003","035G91100001","2009-01-28T11:56:00","2009-01-28T11:56:00",0,"new"
"035G91100003","035G91100002","2009-01-28T11:56:00","2009-01-28T11:56:00",0,"new"
"035G91100003","035G91100004","2009-01-28T11:56:00","2009-01-28T11:56:00",0,"new"
"035G91100003","035G91100005","2009-01-28T11:56:00","2009-01-28T11:56:00",0,"new"
"035G99990001","035G99990004","2010-06-17T13:49:00","2010-06-17T13:49:00",0,"new"
"036G00000052","036G00000053","2010-07-15T00:00:00","2010-07-15T00:00:00",,"new"
"036G00000052","036G00000054","2010-07-15T00:00:00","2010-07-15T00:00:00",,"new"
"036G00000199","036G00000197","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00000199","036G00000198","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00000286","036G00000284","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00000286","036G00006650","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00006001","036G00000060","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00006001","036G00000086","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00006001","036G00003003","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00006009","036G00000164","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00006009","036G00000165","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"036G00006235","036G06758758","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"037G0177","037G0178","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"037G0177","037G0189","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"037G0352","037G0350","2010-07-28T00:00:00","2010-07-28T00:00:00",,"new"
"037G0352","037G0351","2010-07-28T00:00:00","2010-07-28T00:00:00",,"new"
"037G0352","037G0383","2010-07-28T00:00:00","2010-07-28T00:00:00",,"new"
"037G0521","037G0323","2011-05-23T00:00:00","2011-05-23T00:00:00",,"new"
"038G00163000","038G00109000","2006-09-22T12:31:00","2006-09-22T12:31:00",0,"new"
"038G00163000","038G0185000","2007-03-08T11:43:00","2007-03-08T11:43:00",0,"new"
"039G00000001","039G25240001","2010-07-26T15:22:00","2010-07-26T15:22:00",0,"new"
"039G00000001","039G25530001","2007-04-05T15:17:00","2007-04-05T15:17:00",0,"new"
"039G00000001","039G25920001","2007-04-05T15:18:00","2007-04-05T15:18:00",0,"new"
"039G00000001","039G26100001","2007-04-05T15:17:00","2007-04-05T15:17:00",0,"new"
"039G00000001","039G26630001","2007-04-05T15:17:00","2007-04-05T15:17:00",0,"new"
"039G00000001","039G26690001","2007-04-05T15:17:00","2007-04-05T15:17:00",0,"new"
"039G00000001","039G27320001","2007-04-05T15:17:00","2007-04-05T15:17:00",0,"new"
"039G00000001","039G27370001","2007-04-05T15:17:00","2007-04-05T15:17:00",0,"new"
"039G00000001","039G27760001","2010-07-26T15:22:00","2010-07-26T15:22:00",0,"new"
"039G25760001","039G25760002","2010-06-17T14:08:00","2010-06-17T14:08:00",0,"new"
"039G26590001","039G26590002","2006-10-17T10:43:00","2006-10-17T10:43:00",0,"new"
"039G26610001","039G28210001","2011-07-18T10:00:00","2011-07-18T10:00:00",0,"new"
"039G27070001","039G25360001","2007-03-08T13:41:00","2007-03-08T13:41:00",0,"new"
"039G27070001","039G27070003","2007-03-08T13:38:00","2007-03-08T13:38:00",0,"new"
"040G00001216","040G00001215","2008-05-28T00:00:00","2008-05-28T00:00:00",,"new"
"040G00001216","040G00001217","2008-05-28T00:00:00","2008-05-28T00:00:00",,"new"
"040G00001905","040G00001906","2008-06-18T00:00:00","2008-06-18T00:00:00",,"new"
"040G00001905","040G00001912","2008-06-18T00:00:00","2008-06-18T00:00:00",,"new"
"040G00004658","040G00002326","2010-12-15T00:00:00","2010-12-15T00:00:00",,"new"
"050GCC","050GCC000000","2008-12-17T00:00:00","2008-12-17T00:00:00",,"new"
"050GCC","050GCC229230","2009-01-21T00:00:00","2009-01-21T00:00:00",,"new"
