"AtcoCode","FerryCode","Name","NameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9300ABA","ABA","Aberdeen Ferry Terminal","","U",394550,805994,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ABD","ABD","Aberdaron Ferry Landing","","U",217300,326300,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ACH","ACH","Arden - Cameron House Pier","","U",237623,683193,"2010-08-13T16:25:04","2010-08-13T16:25:04",0,"new"
"9300ADG","ADG","Ardrishaig Pier","","U",185401,685393,"2009-05-08T14:49:21","2009-05-08T14:49:21",0,"new"
"9300ADL","ADL","Ardleish Pier","","U",232951,715169,"2010-08-13T16:26:18","2010-08-13T16:26:18",0,"new"
"9300AGN","AGN","St Agnes Isles Of Scilly Ferry Landing","","U",88390,8570,"2005-10-11T00:00:00","2011-02-07T18:48:28",3,"rev"
"9300AHB","AHB","Aird Mhor Barra Ferry Terminal","","U",72123,803817,"2006-01-10T00:00:00","2008-04-25T15:08:52",3,"rev"
"9300ALT","ALT","Altnaharrie Ferry Landing","","U",211545,893076,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ALU","ALU","Ardlui Pier","","U",231789,715566,"2010-08-13T16:26:22","2010-08-13T16:26:22",0,"new"
"9300AMB","AMB","Ambleside Waterhead Ferry Landing","","U",337650,503115,"2005-10-11T00:00:00","2011-03-07T15:28:34",2,"rev"
"9300AMH","AMH","Gigha Ferry Terminal","","U",165344,649003,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ANT","ANT","Place Ferry Landing","","U",185565,32465,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300APP","APP","Appledore Ferry Landing","","U",246573,130555,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ARD","ARD","Ardrossan Ferry Terminal","","U",222350,642135,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ARG","ARG","Ardgour Ferry Terminal","","U",201683,763625,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ARI","ARI","Arisaig Ferry Landing","","U",165865,786405,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ARM","ARM","Armadale Ferry Terminal","","U",163979,803802,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ASH","ASH","Ashness Gate Derwentwater Ferry Landing","","U",326902,520390,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300AYR","AYR","Ayr Compass Pier","","U",233222,622544,"2006-08-14T08:55:43","2006-12-22T10:10:40",2,"rev"
"9300BAD","BAD","Badluarach Ferry Landing","","U",199632,894808,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300BAL","BAL","Balloch Pier","","U",238568,682500,"2010-08-13T16:25:11","2010-08-13T16:25:11",0,"new"
"9300BAN","BAN","Bantham Ferry Landing","","U",266795,43763,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300BAR","BAR","Barmouth Ferry Landing","","U",261513,315465,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300BAS","BAS","Barrage South Waterbus Stop","","U",318957,172500,"2011-01-31T23:02:30","2011-01-31T23:02:30",0,"new"
"9300BAY","BAY","Barry Waterfront Ferry Terminal","","U",311470,167495,"2008-04-07T11:08:33","2008-04-07T11:08:33",0,"new"
"9300BCC","BCC","Bristol City Centre Ferry Landing","","U",358565,172745,"2006-10-23T09:43:18","2011-01-24T16:06:08",3,"rev"
"9300BCP","BCP","Balloch Castle Pier","","U",238697,682985,"2010-08-13T16:25:08","2010-08-13T16:25:08",0,"new"
"9300BDG","BDG","Bridgwater Ferry Terminal","","U",330695,138665,"2008-04-07T11:09:08","2008-04-07T11:09:08",0,"new"
"9300BDY","BDY","Bawdsey Ferry Landing","","U",633155,237885,"2005-10-11T00:00:00","2011-08-22T17:01:45",2,"rev"
"9300BEL","BEL","Belvedere Ferry Landing","","U",368432,588445,"2011-06-28T14:21:41","2011-06-28T14:21:41",0,"new"
"9300BFD","BFD","Broadford Ferry Terminal","","U",164455,824190,"2007-03-22T11:40:32","2007-03-22T11:40:32",0,"new"
"9300BFN","BFN","Bowness Ferry Nab Ferry Landing","","U",339583,495810,"2007-02-19T09:39:21","2007-02-19T09:39:21",0,"new"
"9300BFR","BFR","Blackfriars Millennium Pier","","U",531556,180804,"2005-10-11T00:00:00","2010-12-06T18:11:21",2,"rev"
"9300BGN","BGN","Barrage North Waterbus Stop","","U",319313,173517,"2011-01-31T23:02:30","2011-01-31T23:02:30",0,"new"
"9300BGP","BGP","Barrier Gardens Pier","","U",541828,179359,"2005-10-11T00:00:00","2010-12-06T18:11:21",1,"rev"
"9300BHH","BHH","Bosham Hoe Ferry Landing","","U",480023,102068,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300BHS","BHS","Braehead Shopping Centre Ferry Landing","","U",252319,667304,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300BID","BID","Bideford Ferry Landing","","U",245500,126690,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300BLM","BLM","Blairmore Pier Ferry Terminal","","U",219536,681737,"2006-08-14T08:56:12","2006-12-22T10:10:40",2,"rev"
"9300BLS","BLS","Brightlingsea Ferry Landing","","U",608575,216185,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300BLV","BLV","Balloch Village Ferry Landing","","U",239065,681958,"2011-06-14T14:11:33","2011-06-14T14:11:33",0,"new"
"9300BLW","ALU","Broomielaw Quay Ferry Terminal","","U",258446,664902,"2010-08-16T15:18:15","2010-08-16T15:18:15",0,"new"
