"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"01000053218","","900041065A","Broadmead (Bristol)","en","Bristol: Marlborough St, Bus Stn","en","U",358917,173507,"","",0,""
"0100BRP90236","","900041086","Tyndall's Park","en","Bristol University: Queens Rd - Triangle","en","U",357937,173248,"","",0,""
"0180BAA01319","","900087025","Bath City Centre","en","Bath: Bus Station","en","U",375074,164376,"","",0,""
"0180BAC30701","","900098241","Keynsham","en","Keynsham: High Street","en","U",365423,168641,"","",0,""
"0180BAC30834","","900087345","Radstock","en","Radstock: Bus Stop C, nr Victoria Hall","en","U",368868,154812,"","",0,""
"0190NSC30187","","900041255A","West Wick (Weston-super-Mare)","en","Worle: opp Summer Lane North","en","U",336217,162641,"","",0,""
"0190NSC30188","","900041255C","Worle","en","Worle: nr Summer Lane North","en","U",336185,162758,"","",0,""
"0190NSC30652","","900041221C","Nailsea","en","Nailsea: Stockway Road North","en","U",347484,170883,"","",0,""
"0190NSC30653","","900041221A","Nailsea","en","Nailsea: Link Road","en","U",347547,170846,"","",0,""
"0190NSC30784","","900041240C","Clevedon","en","Clevedon: The Triangle, Stop S","en","U",340886,171051,"","",0,""
"0190NSC30785","","900041240A","Clevedon","en","Clevedon:  The Triangle, Stop Q","en","U",340863,171087,"","",0,""
"0190NSY28569","","900041245","Weston-super-Mare","en","Weston-Super-Mare: Coach Terminal, Locking Rd","en","U",332453,161207,"","",0,""
"0190NSZ01245","","900041185","Bristol International Airport","en","Bristol Airport: Bus Stop, adj Car Park","en","U",350590,165532,"","",0,""
"020033100","","900098021","Great Barford","en","Great Barford: Bedford Road","en","U",512735,252369,"","",0,""
"020033105","","900098022","Roxton","en","Roxton: Bedford Road","en","U",514955,254634,"","",0,""
"020033112","","900098023","Wyboston","en","Wyboston: Great North Road (A1)","en","U",516371,256479,"","",0,""
"020035037","","900052444","Bedford (Beds)","en","Bedford: Bus Station, Stop A","en","U",504696,249864,"","",0,""
"02900001","","900051114A","Luton Town Centre","en","Luton: Railway Station, Stop K","en","U",509239,221576,"","",0,""
"02900001","","900051114D","Luton Town Centre","en","Luton: Railway Station, Stop K","en","U",509239,221576,"","",0,""
"02900002","","900051114B","Luton Town Centre","en","Luton: Rail Station","en","U",509252,221592,"","",0,""
"02900202","","900098352","Vauxhall (Luton)","en","Luton: Luton Airport Parkway Rail Station","en","U",510518,220514,"","",0,""
"02901210","","900051224A","Luton Airport","en","Luton Airport: Bus Stn, o/s Terminal","en","U",511888,221342,"","",0,""
"02903036","","900051110A","Challney","en","Luton: Dunstable Rd, Simpson Close","en","U",505712,222708,"","",0,""
"02903037","","900051110C","Challney","en","Luton: Dunstable Rd, Overstone Road","en","U",505642,222698,"","",0,""
"030051210001","","900062153C","Hungerford (W Berks)","en","Hungerford: opp Sperring's Newsagent","en","U",433840,168938,"","",0,""
"030051210002","","900062153A","Hungerford (W Berks)","en","Hungerford: Sperring's Newsagent","en","U",433854,168951,"","",0,""
"030054160002","","900062183","Newbury (W Berks)","en","Newbury: Bus Stn, Market St","en","U",447162,166878,"","",0,""
"030055200003","","900061206","Calcot (W Berks)","en","Reading-Calcot: Savacentre, M4 junct 12","en","U",465358,171847,"","",0,""
"036006001277","","900056000","Legoland","en","Windsor, Legoland: Staff entrance","en","U",494129,174707,"","",0,""
"036006001284","","900061166","Ascot","en","Ascot: Heatherwood Hospital - west of rbt","en","U",491263,168873,"","",0,""
"036006216216","","900056256","Windsor Town Centre","en","Windsor: opp Parish Church","en","U",496846,176763,"","",0,""
"036006235235","","900098025","Windsor (Berks)","en","Windsor: St Leonards Road, Hospital","en","U",496267,175866,"","",0,""
"03700325","","900056056","Slough Town Centre","en","Slough: Town Centre, Wellington","en","U",497757,180002,"","",0,""
"0380F968G059","","900061156","Bracknell","en","Bracknell: Bus Station, Bay 1","en","U",486968,169030,"","",0,""
"039027060027","","900061266","Reading Town Centre","en","Reading: Rail Station, RailAir Stop","en","U",471567,173739,"","",0,""
"040000002968","","900056236","High Wycombe","en","High Wycombe: Bus Stn","en","U",486192,193256,"","",0,""
"040000004661","","900098338","Aylesbury","en","Aylesbury: Bus Station Bay 11","en","U",481893,213590,"","",0,""
"049000000801","","900050124","Brook Furlong","en","Milton Keynes: Coachway","en","U",489305,240482,"","",0,""
"049002399361","","900052494A","Lavendon","en","Lavendon: Lay-by, o/s Post Office","en","U",491648,253586,"","",0,""
"049002399861","","900052494C","Lavendon","en","Lavendon: Bus Shelter, opp Post Office","en","U",491665,253576,"","",0,""
"049003010926","","900098026","Central Milton Keynes","en","Central Milton Keynes: Stn Sq","en","U",484290,238214,"","",0,""
"049003030902","","900098027","Central Milton Keynes","en","Central Milton Keynes: Midsummer Boulevard","en","U",485469,238940,"","",0,""
"0500CCITY084","","900052056","Cambridge (Cambs)","en","Cambridge: Madingley Rd P&R","en","U",542468,259444,"","",0,""
"0500CCITY248","","900052055","Trumpington","en","Cambridge (Trumpington): Park and Ride","en","U",544271,254256,"","",0,""
"0500CCITY476","","900052074A","Cambridge (Cambs)","en","Cambridge: Parkside","en","U",545569,258272,"","",0,""
"0500FWISH002","","900036134","Wisbech","en","Wisbech: Horse Fair Bus Station, Bay  4","en","U",546260,309812,"","",0,""
"0500HHUNT027","","900052224","Huntingdon","en","Huntingdon: Bus Station, Bay 3","en","U",523834,271637,"","",0,""
"0500HSTIV071","","900098317","St Ives (Cambs)","en","St. Ives: The Busway, Park & Ride, Guided Busway","en","U",531936,270891,"","",0,""
"0500HSTNS060","","900052244A","St Neots (Cambs)","en","St Neots: Market Square, Lloyds TSB Bank","en","U",518174,260222,"","",0,""
"0500HSTNS062","","900052244C","St Neots (Cambs)","en","St Neots: Market Square, Golden Ball","en","U",518179,260210,"","",0,""
"0500SDUXF011","","900052035","Duxford","en","Duxford: Imperial War Museum, Coach Stop","en","U",546387,246452,"","",0,""
"0500SFEND005","","900098318","Fen Drayton","en","Fen Drayton: The Busway [Guided Busway]","en","U",534212,269564,"","",0,""
"0500SGRED002","","900052095C","Great Shelford","en","Great Shelford: opp Post Office","en","U",546229,252460,"","",0,""
"0500SGRED003","","900052095A","Great Shelford","en","Great Shelford: Post Office","en","U",546239,252456,"","",0,""
"0500SHARS006","","900052014A","Harston (Cambs)","en","Harston: High St, opp Village Hall","en","U",542503,250885,"","",0,""
"0500SHARS016","","900052014C","Harston (Cambs)","en","Harston: High St, Village Hall","en","U",542505,250861,"","",0,""
"0500SIMPI032","","900098322","Histon","en","Histon and Impington: The Busway [Guided Busway]","en","U",544292,262499,"","",0,""
"0500SLONN008","","900098320","Longstanton","en","Longstanton: The Busway, Park & Ride, Guided Bus","en","U",540263,267931,"","",0,""
"0500SOAKI016","","900098321","Oakington","en","Oakington: The Busway [Guided Busway]","en","U",541870,265008,"","",0,""
"0500SSAWS012","","900052023C","Sawston","en","Sawston: The Woolpack","en","U",548644,249285,"","",0,""
"0500SSAWS021","","900052023A","Sawston","en","Sawston: Memorial","en","U",548657,249206,"","",0,""
"0500SSTAP016","","900052036A","Stapleford (Cambs)","en","Stapleford: Bus lay-by, nr The Rose","en","U",547042,251661,"","",0,""
"0500SSTAP017","","900052036C","Stapleford (Cambs)","en","Stapleford: Bus lay-by, opp The Rose","en","U",547029,251657,"","",0,""
"0500SSWAV021","","900098319","Swavesey","en","Swavesey: The Busway [Guided Busway]","en","U",536456,269442,"","",0,""
"0590PCH007","","900098033","Peterborough","en","Peterborough, District Hospital: Thorpe Road","en","U",518438,298625,"","",0,""
"0590PET621","","900036124A","Thorney (Peterborough)","en","Thorney: Lay-by, opp Fish bar","en","U",528366,304344,"","",0,""
"0590PET622","","900036124C","Thorney (Peterborough)","en","Thorney: Bus Stop, Fish Bar","en","U",528258,304340,"","",0,""
"0590PQG571","","900036114","Peterborough","en","Peterborough: Queensgate Bus Stn","en","U",518932,298850,"","",0,""
"0600CR087","","900020591","Crewe","en","Crewe: Bus Stn","en","U",370430,355771,"","",0,""
"0600CR290","","900020581","Nantwich","en","Nantwich: Bus Stn","en","U",365233,352515,"","",0,""
"0600MA0378","","900026044C","Newtown (New Mills)","en","Newtown (Derbys): Swan Hotel ","en","U",399329,384556,"","",0,""
"0600MA0379","","900026044A","Newtown (New Mills)","en","Newtown (Derbys): opp Swan Hotel ","en","U",399311,384572,"","",0,""
"0610CH19130","","900011081","Chester","en","Chester: Bus Exchange, Stand 7A","en","U",340357,366480,"","",0,""
"0610CH548","","900011082","Chester Zoo","en","Chester Zoo: Bus Terminal","en","U",340701,370295,"","",0,""
